order_id,x,y,weight,priority,ready_time,due_time,service_time,historical_late_rate
O001,7,20,8,Low,500,762,14,0.1
O002,11,11,8,Low,579,763,12,0.28
O003,2,12,6,Medium,543,847,9,0.27
O004,12,17,10,High,541,849,7,0.18
O005,20,3,5,High,486,680,13,0.07
O006,4,14,2,Medium,488,749,9,0.13
O007,15,7,8,High,514,865,5,0.14
O008,8,4,2,Medium,485,713,14,0.25
O009,18,12,2,Medium,541,887,12,0.25
O010,8,16,2,High,532,683,14,0.39
O011,13,9,1,Low,550,668,12,0.19
O012,8,11,3,Low,487,822,7,0.32
O013,5,10,7,Medium,520,687,11,0.35
O014,12,2,1,High,502,721,12,0.28
O015,12,8,6,High,514,852,7,0.09
O016,14,3,1,Low,569,801,11,0.06
O017,15,15,10,Medium,556,838,11,0.22
O018,4,5,7,High,588,802,8,0.38
O019,7,19,6,Medium,521,704,13,0.09
O020,12,12,4,Medium,541,734,14,0.09
O021,7,1,1,Low,506,849,13,0.34
O022,9,3,7,Medium,551,814,13,0.22
O023,1,19,10,High,538,777,12,0.3
O024,17,17,10,Medium,518,789,7,0.16
O025,17,17,1,Medium,481,879,10,0.06
O026,1,1,3,Medium,481,712,14,0.39
O027,4,11,8,High,496,697,12,0.21
O028,2,6,6,High,591,803,5,0.1
O029,6,16,3,High,515,806,14,0.23
O030,19,20,7,Low,512,827,11,0.38
